Date,0,1,2,3
1957-06-15,701,29080,27357,28398
1957-10-08,702,26602,4807,21435
1957-12-09,703,28173,21170,22488
1958-01-13,704,19,19136,15993
1959-10-25,705,920,26888,7422
1960-04-11,706,1874,5926,22164
1960-07-16,707,8595,24709,10055
1960-09-21,708,24543,12189,3962
1960-12-02,709,87,1026,26005
1961-11-12,710,27289,18246,18789
1961-12-15,711,21082,9806,27988
1962-05-13,712,28677,8299,12326
1962-09-08,713,20185,12281,5796
1963-02-10,714,2671,23692,12412
1963-04-16,715,20091,22840,18110
1963-05-03,716,2416,19358,12541
1963-05-21,717,28715,9945,6954
1963-07-24,718,7007,17906,23384
1963-09-10,719,3702,20476,8987
1963-09-11,720,9576,14060,6602
1964-06-27,721,5029,1220,18935
1964-12-05,722,6762,5888,12590
1965-04-06,723,21392,29833,11112
1965-08-19,724,23741,13494,17000
1965-10-03,725,11833,5172,1927
1965-10-21,726,23673,15859,20699
1965-11-26,727,18258,1143,22843
1967-06-17,728,18882,16968,6830
1969-01-01,729,16938,20995,27501
1969-06-13,730,27004,1898,2298
1969-12-25,731,26116,17306,15493
1970-05-28,732,27094,26961,24629
1970-09-25,733,3280,1268,25951
1971-02-08,734,29664,8055,16790
1971-07-12,735,27635,15279,10887
1972-07-08,736,5399,16029,14653
1973-11-09,737,20617,3256,11580
1974-02-21,738,1308,26351,3095
1974-04-17,739,12360,11483,10804
1975-01-05,740,3165,25198,1682
1975-05-06,741,17950,3243,29452
1976-07-13,742,18956,2296,29766
1976-08-04,743,1425,12177,29526
1976-08-22,744,12511,1215,7972
1977-02-13,745,27175,29216,8268
1977-03-27,746,4335,24136,175
1978-03-06,747,25076,23983,2367
1978-03-07,748,17792,8307,15540
1978-05-13,749,366,26680,16018
1978-07-21,750,15775,958,7665
1979-01-31,751,2743,21120,26067
1981-05-24,752,12199,7781,28612
1982-05-05,753,13123,8785,24124
1982-09-29,754,6668,2605,14278
1982-11-05,755,24815,550,23996
1982-11-23,756,615,16872,2274
1983-11-29,757,12310,10772,18230
1984-03-22,758,6951,14558,19297
1984-11-26,759,2164,15764,20523
1985-03-19,760,22445,16589,27489
1985-06-06,761,26763,20798,27177
1985-06-22,762,13207,22069,8142
1985-10-28,763,27498,15435,13822
1986-05-30,764,17073,27813,23358
1986-08-07,765,22285,6827,6994
1987-05-20,766,12226,5176,25845
1987-07-19,767,6169,28829,20706
1988-03-11,768,26543,26030,10924
1988-05-17,769,28884,22054,166
1989-01-01,770,26529,10672,16777
1989-02-19,771,19710,26737,2391
1989-09-04,772,26227,28962,20117
1989-12-25,773,29218,6884,5536
1990-04-22,774,15930,20060,20168
1990-12-11,775,26023,1152,14659
1992-01-16,776,2743,4747,11593
